Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_DA5312AA	HICF219	SRR3050986;ILLUMINA;Paired;;SRX1499548	Human	Human	Homo sapiens; Blood	2011	3			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357637	SRS1221261	2016-07-01	2016-01-05	ESC_DA5312AA	Assembled	89	213257	5289608	Escherichia coli / Shigella;95.31%	75	2081	3.41	ESC_HA5121AA_AS
ESC_DA5316AA	HICF212	SRR3050982;ILLUMINA;Paired;;SRX1499544	Human	Human	Homo sapiens; Blood	2011	3			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357633	SRS1221265	2016-07-01	2016-01-05	ESC_DA5316AA	Assembled	117	360546	5080065	Escherichia coli / Shigella;100.0%	57	1526	3.41	ESC_HA5117AA_AS
ESC_DA5322AA	HICF205	SRR3050976;ILLUMINA;Paired;;SRX1499538	Human	Human	Homo sapiens; Blood	2011	1			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357627	SRS1221271	2016-07-01	2016-01-05	ESC_DA5322AA	Assembled	101	244953	5244928	Escherichia coli / Shigella;96.92%	98	1961	3.41	ESC_HA5111AA_AS
ESC_DA5335AA	HICF190	SRR3050963;ILLUMINA;Paired;;SRX1499525	Human	Human	Homo sapiens; Blood	2010	11			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357614	SRS1221285	2016-07-01	2016-01-05	ESC_DA5335AA	Assembled	93	360313	5199735	Escherichia coli / Shigella;97.14%	60	1961	3.41	ESC_HA5098AA_AS
ESC_DA5339AA	HICF180	SRR3050959;ILLUMINA;Paired;;SRX1499521	Human	Human	Homo sapiens; Blood	2010	10			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357610	SRS1221288	2016-07-01	2016-01-05	ESC_DA5339AA	Assembled	88	286624	5214918	Escherichia coli / Shigella;100.0%	70	1904	3.41	ESC_HA5094AA_AS
ESC_DA5356AA	HICF154	SRR3050942;ILLUMINA;Paired;;SRX1499504	Human	Human	Homo sapiens; Blood	2010	7			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357593	SRS1221305	2016-07-01	2016-01-05	ESC_DA5356AA	Assembled	72	204009	5054791	Escherichia coli / Shigella;97.16%	101	2377	3.41	ESC_HA5076AA_AS
ESC_DA5389AA	HICF110	SRR3050909;ILLUMINA;Paired;;SRX1499471	Human	Human	Homo sapiens; Blood	2010	1			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357560	SRS1221338	2016-07-01	2016-01-05	ESC_DA5389AA	Assembled	108	360506	5105885	Escherichia coli / Shigella;100.0%	66	1435	3.41	ESC_HA5043AA_AS
ESC_DA5395AA	HICF89	SRR3050903;ILLUMINA;Paired;;SRX1499465	Human	Human	Homo sapiens; Blood	2009	10			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357554	SRS1221344	2016-07-01	2016-01-05	ESC_DA5395AA	Assembled	83	200992	5177328	Escherichia coli / Shigella;96.2%	117	1991	3.41	ESC_HA5037AA_AS
ESC_DA5401AA	HICF76	SRR3050897;ILLUMINA;Paired;;SRX1499459	Human	Human	Homo sapiens; Blood	2009	8			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357548	SRS1221350	2016-07-01	2016-01-05	ESC_DA5401AA	Assembled	80	360233	5191751	Escherichia coli / Shigella;100.0%	56	1921	3.41	ESC_HA5031AA_AS
ESC_DA5409AA	HICF62	SRR3050889;ILLUMINA;Paired;;SRX1499451	Human	Human	Homo sapiens; Blood	2009	6			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357540	SRS1221358	2016-07-01	2016-01-05	ESC_DA5409AA	Assembled	66	360324	5330688	Escherichia coli / Shigella;100.0%	63	2345	3.41	ESC_HA5023AA_AS
ESC_DA5426AA	HICF42	SRR3050872;ILLUMINA;Paired;;SRX1499434	Human	Human	Homo sapiens; Blood	2009	3			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357523	SRS1221374	2016-07-01	2016-01-05	ESC_DA5426AA	Assembled	57	389918	5228278	Escherichia coli / Shigella;97.43%	58	2338	3.41	ESC_HA5006AA_AS
ESC_DA5453AA	HICF1	SRR3050845;ILLUMINA;Paired;;SRX1499407	Human	Human	Homo sapiens; Blood	2008	9			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357496	SRS1221399	2016-07-01	2016-01-05	ESC_DA5453AA	Assembled	64	515527	5314276	Escherichia coli / Shigella;100.0%	70	2579	3.41	ESC_HA4979AA_AS
ESC_DA7621AA	NCTC11151	ERR980628;PACBIO_SMRT;Single;;ERX1057500,GCA_900635165;Complete Genome;;;,GCF_900635165;Complete Genome;;;																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB6403	ERP005928		SAMEA3376930	ERS718602	2016-07-01	2015-08-13	ESC_DA7621AA	Assembled	1	4961426	4961426		1	0	NaN	ESC_VA5254AA_AS
ESC_DA7732AA	50_UPEC_U3454	ERR972194;ILLUMINA;Paired;454;ERX1049171																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB9248	ERP010333		SAMEA3367607	ERS715259	2016-07-01	2015-07-29	ESC_DA7732AA	Assembled	53	187557	5063697	Escherichia coli / Shigella;97.48%	110	5302	3.41	ESC_HA3865AA_AS
ESC_DA7778AA	B91	ERR966604;ILLUMINA;Paired;500;ERX1043582																Nottingham Trent University	Escherichia coli								PRJEB9931	ERP011085		SAMEA3488062	ERS795211	2016-07-01	2015-07-25	ESC_DA7778AA	Assembled	226	189329	5088898	Escherichia coli / Shigella;97.97%	164	5153	3.41	ESC_HA3833AA_AS
ESC_DA8223AA	NHEC0077	ERR775902;ILLUMINA;Paired;225;ERX718781																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB7657	ERP008587		SAMEA3108713	ERS575956	2016-07-01	2015-03-04	ESC_DA8223AA	Assembled	85	267676	5197959	Escherichia coli / Shigella;100.0%	98	2400	3.41	ESC_HA3338AA_AS
ESC_DA8406AA	1	ERR687901;ILLUMINA;Paired;377;ERX632844,ERR687900;ILLUMINA;Paired;377;ERX632843																AUSTRALIAN INFECTIOUS DISEASES RESEARCH CENTRE, SCHOOL OF CHEMISTRY AND MOLECULAR BIOSCIENCES, UNIVERSITY OF QUEENSLAND	Escherichia coli								PRJEB7805	ERP008778		SAMEA3139717	ERS611615	2016-07-01	2015-01-29	ESC_DA8406AA	Assembled	242	268636	5140612	Escherichia coli / Shigella;100.0%	75	902	3.41	ESC_HA3089AA_AS
ESC_DA8966AA	BCW_3359	SRR1815631;ILLUMINA;Paired;;SRX888003	ND	ND/Others	culture													UCD-100K	Escherichia coli								PRJNA203445	SRP022914		SAMN03358920	SRS854657	2016-07-01	2016-02-24	ESC_DA8966AA	Assembled	60	304236	5329679	Escherichia coli / Shigella;98.44%	90	2148	3.41	ESC_HA2328AA_AS
ESC_DA9000AA	BCW_3324	SRR1815597;ILLUMINA;Paired;;SRX887969	ND	ND/Others	culture													UCD-100K	Escherichia coli								PRJNA203445	SRP022914		SAMN03358886	SRS854692	2016-07-01	2016-02-24	ESC_DA9000AA	Assembled	92	294060	5169267	Escherichia coli / Shigella;98.59%	97	1459	3.41	ESC_HA2294AA_AS
ESC_DA9023AA	BCW_3256	SRR1815565;ILLUMINA;Paired;;SRX887937	ND	ND/Others	culture													UCD-100K	Escherichia coli								PRJNA203445	SRP022914		SAMN03358854	SRS854721	2016-07-01	2016-02-24	ESC_DA9023AA	Assembled	94	304347	5251102	Escherichia coli / Shigella;98.64%	103	1530	3.41	ESC_HA2271AA_AS
ESC_DA9304AA	WU43	SRR1610071;ILLUMINA;Paired;;SRX730694	Human	Human	de-identified patient sample	2010	1			North America	United States	Missouri		Saint Louis		38.6	-90.2	Washington University	Escherichia coli								PRJNA261540	SRP048823		SAMN03074793	SRS719888	2016-07-01	2015-10-10	ESC_DA9304AA	Assembled	74	113203	5006171	Escherichia coli / Shigella;98.23%	161	9691	3.41	ESC_HA2055AA_AS
ESC_DA9458AA	C525	SRR1508898;ILLUMINA;Paired;;SRX647861	Human	Human	Homo sapiens; Blood or urine	2010	11			Asia	Nepal					27.4	85.19	University of Oxford	Escherichia coli								PRJNA253300	SRP043586		SAMN02885312	SRS655129	2016-07-01	2014-10-08	ESC_DA9458AA	Assembled	68	185531	5212492	Escherichia coli / Shigella;96.22%	128	1988	3.41	ESC_HA1968AA_AS
ESC_DA9981AA	BCW_4055	SRR1106283;ILLUMINA;Paired;250;SRX425240																UCD-100K	Escherichia coli		O2						PRJNA203445	SRP022914		SAMN02368843	SRS528902	2016-07-01	2015-07-22	ESC_DA9981AA	Assembled	71	251665	4893952	Escherichia coli / Shigella;100.0%	130	2455	3.41	ESC_HA1741AA_AS
ESC_DA9982AA	BCW_4054	SRR1106284;ILLUMINA;Paired;250;SRX425239																UCD-100K	Escherichia coli		O1, H7						PRJNA203445	SRP022914		SAMN02368842	SRS528901	2016-07-01	2015-07-22	ESC_DA9982AA	Assembled	49	395732	4799023	Escherichia coli / Shigella;100.0%	66	1148	3.41	ESC_HA1740AA_AS
ESC_EA0158AA	143	ERR277063;ILLUMINA;Paired;300;ERX250486																Oxford Brookes University	Escherichia coli								PRJEB1963	ERP002642		SAMEA1905013	ERS249994	2016-07-01	2013-06-10	ESC_EA0158AA	Assembled	145	360239	5087163	Escherichia coli / Shigella;96.96%	63	1459	3.41	ESC_HA1673AA_AS
ESC_EA0162AA	139	ERR277059;ILLUMINA;Paired;300;ERX250482																Oxford Brookes University	Escherichia coli								PRJEB1963	ERP002642		SAMEA1905114	ERS249990	2016-07-01	2013-06-10	ESC_EA0162AA	Assembled	83	268635	5264687	Escherichia coli / Shigella;98.79%	148	1399	3.41	ESC_HA1669AA_AS
ESC_EA0163AA	138	ERR277058;ILLUMINA;Paired;300;ERX250481																Oxford Brookes University	Escherichia coli								PRJEB1963	ERP002642		SAMEA1905083	ERS249989	2016-07-01	2013-06-10	ESC_EA0163AA	Assembled	99	296218	5137678	Escherichia coli / Shigella;97.83%	79	1289	3.41	ESC_HA1668AA_AS
ESC_EA0935AA	EuSCAPE_IE038	ERR1514980;ILLUMINA;Paired;435;ERX1586000																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3727588	ERS1034737	2016-07-18	2016-07-11	ESC_EA0935AA	Assembled	55	203978	5242342	Escherichia coli / Shigella;93.82%	109	2881	3.41	ESC_HA6023AA_AS
ESC_EA1122AA	PNUSAE003589	SRR3930560;ILLUMINA;Paired;;SRX1960022								North America	United States							Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch	Escherichia coli								PRJNA218110	SRP046387		SAMN05402768	SRS1570145	2016-07-19	2016-07-19	ESC_EA1122AA	Assembled	130	404781	5057795	Escherichia coli / Shigella;100.0%	46	4068	3.41	ESC_HA6384AA_AS
ESC_EA1246AA	UPEC	ERR1543520;ILLUMINA;Paired;470;ERX1614285																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043309	ERS1214419	2016-07-20	2016-07-20	ESC_EA1246AA	Assembled	125	203977	5110118	Escherichia coli / Shigella;98.61%	105	1575	3.41	ESC_HA7003AA_AS
ESC_EA1250AA	UPEC	ERR1543516;ILLUMINA;Paired;478;ERX1614281																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043305	ERS1214415	2016-07-20	2016-07-20	ESC_EA1250AA	Assembled	140	288193	5057901	Escherichia coli / Shigella;98.44%	100	1836	3.41	ESC_HA6999AA_AS
ESC_EA1261AA	UPEC	ERR1543505;ILLUMINA;Paired;462;ERX1614270																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043294	ERS1214404	2016-07-20	2016-07-20	ESC_EA1261AA	Assembled	161	185117	5086941	Escherichia coli / Shigella;97.14%	108	1551	3.41	ESC_HA6988AA_AS
ESC_EA1268AA	a89c9140-d0d6-11e5-88b1-3c4a9275d6c6	ERR1543498;ILLUMINA;Paired;469;ERX1614263																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043287	ERS1214397	2016-07-20	2016-07-20	ESC_EA1268AA	Assembled	145	360205	5213460	Escherichia coli / Shigella;97.22%	63	1422	3.41	ESC_HA6981AA_AS
ESC_EA1289AA	UPEC	ERR1543477;ILLUMINA;Paired;485;ERX1614242																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043245	ERS1214355	2016-07-20	2016-07-20	ESC_EA1289AA	Assembled	140	360376	5179147	Escherichia coli / Shigella;100.0%	56	1109	3.41	ESC_HA6960AA_AS
ESC_EA1295AA	UPEC	ERR1543471;ILLUMINA;Paired;465;ERX1614236																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043231	ERS1214341	2016-07-20	2016-07-20	ESC_EA1295AA	Assembled	135	269047	5079848	Escherichia coli / Shigella;100.0%	88	804	3.41	ESC_HA6954AA_AS
ESC_EA1299AA	UPEC	ERR1543467;ILLUMINA;Paired;455;ERX1614232																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043221	ERS1214331	2016-07-20	2016-07-20	ESC_EA1299AA	Assembled	139	269047	5079811	Escherichia coli / Shigella;100.0%	84	763	3.41	ESC_HA6950AA_AS
ESC_EA1326AA	a865a2c0-d0d6-11e5-bc69-3c4a9275d6c6	ERR1543440;ILLUMINA;Paired;449;ERX1614205																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043283	ERS1214393	2016-07-20	2016-07-20	ESC_EA1326AA	Assembled	131	678313	5082652	Escherichia coli / Shigella;100.0%	55	721	3.41	ESC_HA6920AA_AS
ESC_EA1358AA	UPEC	ERR1543408;ILLUMINA;Paired;446;ERX1614173																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043223	ERS1214333	2016-07-20	2016-07-20	ESC_EA1358AA	Assembled	137	458406	5153528	Escherichia coli / Shigella;97.14%	56	1447	3.41	ESC_HA6888AA_AS
ESC_EA1359AA	a6812b50-d0d6-11e5-bc69-3c4a9275d6c6	ERR1543407;ILLUMINA;Paired;463;ERX1614172																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043222	ERS1214332	2016-07-20	2016-07-20	ESC_EA1359AA	Assembled	138	360305	5166750	Escherichia coli / Shigella;100.0%	61	1090	3.41	ESC_HA6887AA_AS
ESC_EA1362AA	UPEC	ERR1543404;ILLUMINA;Paired;469;ERX1614169																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043216	ERS1214326	2016-07-20	2016-07-20	ESC_EA1362AA	Assembled	145	296414	5199772	Escherichia coli / Shigella;100.0%	102	1244	3.41	ESC_HA6884AA_AS
ESC_EA1366AA	a6346ae0-d0d6-11e5-bc69-3c4a9275d6c6	ERR1543400;ILLUMINA;Paired;471;ERX1614165																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043209	ERS1214319	2016-07-20	2016-07-20	ESC_EA1366AA	Assembled	149	373283	4987677	Escherichia coli / Shigella;100.0%	63	1281	3.41	ESC_HA6880AA_AS
ESC_EA1369AA	UPEC	ERR1543397;ILLUMINA;Paired;481;ERX1614162																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043204	ERS1214314	2016-07-20	2016-07-20	ESC_EA1369AA	Assembled	131	355232	5098872	Escherichia coli / Shigella;100.0%	60	947	3.41	ESC_HA6877AA_AS
ESC_EA1388AA	UPEC	ERR1543378;ILLUMINA;Paired;445;ERX1614143																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043167	ERS1214277	2016-07-20	2016-07-20	ESC_EA1388AA	Assembled	126	346188	5050847	Escherichia coli / Shigella;100.0%	46	1386	3.41	ESC_HA6858AA_AS
ESC_EA1393AA	a4cb6500-d0d6-11e5-bc69-3c4a9275d6c6	ERR1543373;ILLUMINA;Paired;453;ERX1614138																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043161	ERS1214271	2016-07-20	2016-07-20	ESC_EA1393AA	Assembled	127	263744	5240900	Escherichia coli / Shigella;96.89%	177	2306	3.41	ESC_HA6853AA_AS
ESC_EA1401AA	UPEC	ERR1543365;ILLUMINA;Paired;464;ERX1614130																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043153	ERS1214263	2016-07-20	2016-07-20	ESC_EA1401AA	Assembled	123	353759	5012230	Escherichia coli / Shigella;100.0%	70	1131	3.41	ESC_HA6845AA_AS
ESC_EA1411AA	a3f5c580-d0d6-11e5-bc69-3c4a9275d6c6	ERR1543355;ILLUMINA;Paired;461;ERX1614120																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043143	ERS1214253	2016-07-20	2016-07-20	ESC_EA1411AA	Assembled	127	377726	5297248	Escherichia coli / Shigella;100.0%	59	749	3.41	ESC_HA6830AA_AS
ESC_EA1413AA	UPEC	ERR1543353;ILLUMINA;Paired;453;ERX1614118																SC	Escherichia coli								PRJEB12513	ERP014001		SAMEA4043141	ERS1214251	2016-07-20	2016-07-20	ESC_EA1413AA	Assembled	148	378023	5296686	Escherichia coli / Shigella;100.0%	60	1113	3.41	ESC_HA6828AA_AS
ESC_EA1583AA	Ec_26_15	traces-0gXfLZw;ILLUMINA;Paired;;NA								Europe	Portugal							vitor.borges@insa.min-saude.pt														2016-07-25	2017-01-27	ESC_EA1583AA	Assembled	23	139096	5085259	Escherichia coli / Shigella;98.61%	96	18750	3.41	ESC_HA7314AA_AS
ESC_EA1687AA	MOD1-EC6794	SRR3957107;ILLUMINA;Paired;300;SRX1981167	Livestock		bovine, cow-Intestine-Small	1995	1			North America	United States	Pennsylvania						FDA Center for Food Safety and Applied Nutrition	Escherichia coli								PRJNA230969	SRP058582		SAMN04992142	SRS1588611	2016-07-28	2015-01-01	ESC_EA1687AA	Assembled	85	183619	5178132	Escherichia coli / Shigella;97.33%	116	3664	3.51	ESC_HA7812AA_AS
ESC_EA1761AA	KGu013	DRR063481;ILLUMINA;Paired;600;DRX057722,DRR063392;ILLUMINA;Paired;600;DRX057633	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053178	DRS032815	2016-07-28	2016-07-26	ESC_EA1761AA	Assembled	35	47496	5219903	Escherichia coli / Shigella;99.2%	202	69658	3.51	ESC_HA7720AA_AS
ESC_EA1762AA	KGu010	DRR063389;ILLUMINA;Paired;600;DRX057630,DRR063480;ILLUMINA;Paired;600;DRX057721	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053175	DRS032812	2016-07-28	2016-07-26	ESC_EA1762AA	Assembled	64	62089	5014807	Escherichia coli / Shigella;99.33%	222	40048	3.51	ESC_HA7717AA_AS
ESC_EA1766AA	KKo005	DRR063476;ILLUMINA;Paired;600;DRX057717,DRR063381;ILLUMINA;Paired;600;DRX057622	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053167	DRS032804	2016-07-28	2016-07-26	ESC_EA1766AA	Assembled	45	43477	5105475	Escherichia coli / Shigella;100.0%	264	54684	3.51	ESC_HA7710AA_AS
ESC_EA1800AA	KFu005	DRR063442;ILLUMINA;Paired;600;DRX057683,DRR063327;ILLUMINA;Paired;600;DRX057568	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053113	DRS032750	2016-07-28	2016-07-26	ESC_EA1800AA	Assembled	40	34289	5236437	Escherichia coli / Shigella;100.0%	330	35485	3.51	ESC_HA7642AA_AS
ESC_EA1813AA	KKa007	DRR063429;ILLUMINA;Paired;600;DRX057670,DRR063307;ILLUMINA;Paired;600;DRX057548	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053093	DRS032730	2016-07-28	2016-07-26	ESC_EA1813AA	Assembled	79	131145	4944930	Escherichia coli / Shigella;100.0%	101	9524	3.51	ESC_HA7615AA_AS
ESC_EA1821AA	KOr015	DRR063294;ILLUMINA;Paired;600;DRX057535,DRR063421;ILLUMINA;Paired;600;DRX057662	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053080	DRS032717	2016-07-28	2016-07-26	ESC_EA1821AA	Assembled	84	159620	5194349	Escherichia coli / Shigella;97.61%	121	4608	3.51	ESC_HA7599AA_AS
ESC_EA1822AA	KOr014	DRR063293;ILLUMINA;Paired;600;DRX057534,DRR063420;ILLUMINA;Paired;600;DRX057661	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053079	DRS032716	2016-07-28	2016-07-26	ESC_EA1822AA	Assembled	73	230099	5217107	Escherichia coli / Shigella;100.0%	153	6212	3.51	ESC_HA7597AA_AS
ESC_EA1823AA	KOr013	DRR063292;ILLUMINA;Paired;600;DRX057533,DRR063419;ILLUMINA;Paired;600;DRX057660	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053078	DRS032715	2016-07-28	2016-07-26	ESC_EA1823AA	Assembled	84	164450	5180676	Escherichia coli / Shigella;100.0%	106	4806	3.51	ESC_HA7595AA_AS
ESC_EA1825AA	KOr011	DRR063417;ILLUMINA;Paired;600;DRX057658,DRR063290;ILLUMINA;Paired;600;DRX057531	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053076	DRS032713	2016-07-28	2016-07-26	ESC_EA1825AA	Assembled	53	114910	5312162	Escherichia coli / Shigella;100.0%	235	19865	3.51	ESC_HA7591AA_AS
ESC_EA1826AA	KOr010	DRR063289;ILLUMINA;Paired;600;DRX057530,DRR063416;ILLUMINA;Paired;600;DRX057657	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053075	DRS032712	2016-07-28	2016-07-26	ESC_EA1826AA	Assembled	36	71241	5100193	Escherichia coli / Shigella;98.24%	188	28962	3.51	ESC_HA7589AA_AS
ESC_EA1828AA	KOr008	DRR063287;ILLUMINA;Paired;600;DRX057528,DRR063414;ILLUMINA;Paired;600;DRX057655	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053073	DRS032710	2016-07-28	2016-07-26	ESC_EA1828AA	Assembled	62	129614	5103847	Escherichia coli / Shigella;100.0%	157	10248	3.51	ESC_HA7585AA_AS
ESC_EA1854AA	KFu009	DRR063331;ILLUMINA;Paired;600;DRX057572	Environment	Water/River	river					Asia	Japan							KYOTO_ENG	Escherichia coli								PRJDB4884	DRP003212		SAMD00053117	DRS032754	2016-07-28	2016-07-26	ESC_EA1854AA	Assembled	64	91434	5420754	Escherichia coli / Shigella;100.0%	242	13602	3.51	ESC_HA7558AA_AS
ESC_EA2192AA	MOD1-EC6853	SRR3972152;ILLUMINA;Paired;300;SRX1984101	Wild Animal	Primate	primate-Intestine	1996	7			North America	United States	Florida						FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O18						PRJNA230969	SRP058582		SAMN04992219	SRS1589777	2016-07-29	2015-01-01	ESC_EA2192AA	Assembled	137	159586	5243209	Escherichia coli / Shigella;100.0%	114	3263	3.51	ESC_HA7931AA_AS
ESC_EA2205AA	MOD1-EC6834	SRR3972133;ILLUMINA;Paired;300;SRX1984050	Livestock	Bovine	bovine, cow-Feces	1996	6			North America	United States	Michigan						FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O2						PRJNA230969	SRP058582		SAMN04992200	SRS1589753	2016-07-29	2015-01-01	ESC_EA2205AA	Assembled	97	145965	5142440	Escherichia coli / Shigella;95.44%	92	4484	3.51	ESC_HA7918AA_AS
ESC_EA2279AA	MOD1-EC6705	SRR3987656;ILLUMINA;Paired;300;SRX1988987	Human	Human	Homo sapiens; homo sapiens-Urine	1993	1			North America	United States	Texas						FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O2						PRJNA230969	SRP058582		SAMN04992535	SRS1592741	2016-07-30	2015-01-01	ESC_EA2279AA	Assembled	165	216756	5131717	Escherichia coli / Shigella;97.95%	118	2071	3.51	ESC_HA8279AA_AS
ESC_EA2287AA	MOD1-EC6695	SRR3987646;ILLUMINA;Paired;300;SRX1988978	Human	Human	Homo sapiens; homo sapiens-Blood	1992	10			North America	United States	Massachusetts						FDA Center for Food Safety and Applied Nutrition	Escherichia coli								PRJNA230969	SRP058582		SAMN04992525	SRS1592732	2016-07-30	2015-01-01	ESC_EA2287AA	Assembled	108	151552	5003313	Escherichia coli / Shigella;100.0%	94	4895	3.51	ESC_HA8271AA_AS
ESC_EA2328AA	MOD1-EC6651	SRR3987588;ILLUMINA;Paired;300;SRX1988916	Human	Human	Homo sapiens; homo sapiens-Feces	1991	2			Asia	Saudi Arabia							FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O2						PRJNA230969	SRP058582		SAMN04992481	SRS1592671	2016-07-30	2015-01-01	ESC_EA2328AA	Assembled	60	108869	5209181	Escherichia coli / Shigella;96.29%	140	8072	3.51	ESC_HA8230AA_AS
ESC_EA2531AA	MOD1-EC6049	SRR3988044;ILLUMINA;Paired;300;SRX1989451	Human	Human	feces	2010	6			North America	Norway							FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O1:H7						PRJNA230969	SRP058582		SAMN05439463	SRS1593188	2016-07-29	2015-01-01	ESC_EA2531AA	Assembled	95	174142	5107937	Escherichia coli / Shigella;100.0%	110	2987	3.51	ESC_HA8540AA_AS
ESC_EA2702AA	MOD1-EC5969	SRR3987725;ILLUMINA;Paired;300;SRX1989148	Livestock	Bovine	spleen	2009	6			North America	United States	Pennsylvania						FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O2:H4						PRJNA230969	SRP058582		SAMN05439394	SRS1592895	2016-07-29	2015-01-01	ESC_EA2702AA	Assembled	81	184576	5501297	Escherichia coli / Shigella;96.05%	149	2405	3.51	ESC_HA8369AA_AS
ESC_EA3031AA	MOD1-EC5860	SRR3993864;ILLUMINA;Paired;300;SRX1994916	Companion Animal		urine	1984	11			North America	United States	Florida						FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O1						PRJNA230969	SRP058582		SAMN05468050	SRS1597489	2016-08-02	2015-01-01	ESC_EA3031AA	Assembled	80	216811	5021467	Escherichia coli / Shigella;94.44%	60	1262	3.51	ESC_HA9073AA_AS
